UniProtKB:P37837	TALDO1
UniProtKB:P49223	SPINT3
UniProtKB:O95931	CBX7
UniProtKB:P49221	TGM4
UniProtKB:Q96EY9	ADAT3
UniProtKB:Q96EY7	PTCD3
UniProtKB:Q9Y4H2	IRS2
UniProtKB:O75616	ERAL1
UniProtKB:O75469	NR1I2
UniProtKB:Q96EY1	DNAJA3
UniProtKB:O75467	ZNF324
UniProtKB:P10636	MAPT
UniProtKB:P10635	CYP2D6
UniProtKB:O75461	E2F6
UniProtKB:O75460	ERN1
UniProtKB:P10632	CYP2C8
UniProtKB:O95926	SYF2
UniProtKB:O95925	EPPIN
UniProtKB:O95922	TTLL1
UniProtKB:Q9UHG3	PCYOX1
UniProtKB:Q9UHG2	PCSK1N
UniProtKB:Q8NHU6	TDRD7
UniProtKB:Q8NHU3	SGMS2
UniProtKB:Q8NHU2	CFAP61
UniProtKB:O75629	CREG1
UniProtKB:Q8NEY8	PPHLN1
UniProtKB:O75452	RDH16
UniProtKB:I3L521	I3L521
UniProtKB:P49207	RPL34
UniProtKB:P10646	TFPI
UniProtKB:Q9UHF7	TRPS1
UniProtKB:Q9UHF3	NAT8B
UniProtKB:P52742	ZNF135
UniProtKB:P52744	ZNF138
UniProtKB:O75636	FCN3
UniProtKB:O75448	MED24
UniProtKB:P10619	CTSA
UniProtKB:P22004	BMP6
UniProtKB:P22003	BMP5
UniProtKB:P17342	NPR3
UniProtKB:O95905	ECD
UniProtKB:Q9UHE8	STEAP1
UniProtKB:Q9UHE5	NAT8
UniProtKB:O95900	TRUB2
UniProtKB:Q8NHS9	SPATA22
UniProtKB:Q96EV8	DTNBP1
UniProtKB:P52798	EFNA4
UniProtKB:P52797	EFNA3
UniProtKB:O75438	NDUFB1
UniProtKB:O75437	ZNF254
UniProtKB:O75436	VPS26A
UniProtKB:P10606	COX5B
UniProtKB:P52790	HK3
UniProtKB:P10600	TGFB3
UniProtKB:Q9UHD9	UBQLN2
UniProtKB:Q9UHD4	CIDEB
UniProtKB:Q9UHD2	TBK1
UniProtKB:Q9UHD1	CHORDC1
UniProtKB:Q9UHD0	IL19
UniProtKB:Q8NI38	NFKBID
UniProtKB:Q8NI36	WDR36
UniProtKB:P52789	HK2
UniProtKB:P52788	SMS
UniProtKB:O75426	FBXO24
