Source	Target	SharedMet	List
WP2879_88056	WP2878_88342	1	[Wd:Q389934]
WP2879_88056	WP2884_87956	1	[Wd:Q389934]
WP2879_88056	WP2881_88032	1	[Wd:Q389934]
WP3971_91525	WP1984_93247	1	[Wd:Q422930]
WP3932_94216	WP3634_86060	1	[Wd:Q39798]
WP314_87381	WP2436_93092	1	[Wd:Q116907]
WP314_87381	WP15_94185	1	[Wd:Q116907]
WP314_87381	WP3925_90737	1	[Wd:Q116907]
WP314_87381	WP3287_89371	1	[Wd:Q116907]
WP314_87381	WP3604_84660	1	[Wd:Q116907]
WP314_87381	WP692_94192	1	[Wd:Q116907]
WP314_87381	WP1438_80038	1	[Wd:Q116907]
WP314_87381	WP2190_88006	1	[Wd:Q116907]
WP466_89897	WP289_89548	1	[Wd:Q201090]
WP466_89897	WP2197_94181	2	[Wd:Q424586, Wd:Q201090]
WP466_89897	WP411_79980	1	[Wd:Q201090]
WP466_89897	WP2513_92316	1	[Wd:Q201090]
WP466_89897	WP3644_89859	1	[Wd:Q201090]
WP466_89897	WP183_81161	1	[Wd:Q201090]
WP466_89897	WP4022_94174	1	[Ce:CHEBI:17625]
WP466_89897	WP3604_84660	4	[Wd:Q424586, Wd:Q201090, Ce:CHEBI:17625, Wd:Q424680]
WP466_89897	WP3933_94213	3	[Wd:Q201090, Wd:Q27096376, Wd:Q424680]
WP466_89897	WP536_94305	1	[Wd:Q201090]
WP466_89897	WP422_72129	2	[Wd:Q27093237, Wd:Q424586]
WP466_89897	WP3931_94310	1	[Wd:Q424586]
WP466_89897	WP2338_78504	1	[Wd:Q424586]
WP466_89897	WP1403_90259	1	[Wd:Q201090]
WP466_89897	WP3655_88473	1	[Wd:Q424586]
WP1584_81779	WP15_94185	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP534_93722	3	[Wd:Q213580, Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP3925_90737	3	[Wd:Q213580, Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP3644_89859	1	[Wd:Q213580]
WP1584_81779	WP3604_84660	3	[Wd:Q213580, Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP661_88591	3	[Wd:Q213580, Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP2453_94220	1	[Wd:Q213580]
WP1584_81779	WP2333_72015	1	[Wd:Q213580]
WP1584_81779	WP500_94085	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP2456_89610	2	[Wd:Q213580, Wd:Q23905964]
WP1584_81779	WP176_93690	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP1982_90425	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP3915_93137	1	[Wd:Q23905964]
WP1584_81779	WP1533_85340	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP106_94196	1	[Wd:Q213580]
WP1584_81779	WP2868_90260	3	[Wd:Q213580, Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP1403_90259	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP1946_94218	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP528_79855	1	[Wd:Q213580]
WP1584_81779	WP690_88335	2	[Wd:Q23905964, Wd:Q21036645]
WP1584_81779	WP698_94183	2	[Wd:Q23905964, Wd:Q21036645]
WP704_88909	WP15_94185	1	[Wd:Q22124685]
WP704_88909	WP3996_93015	1	[Wd:Q22124685]
WP704_88909	WP3925_90737	1	[Wd:Q22124685]
WP704_88909	WP1589_92113	1	[Wd:Q22124685]
WP704_88909	WP3604_84660	1	[Wd:Q22124685]
WP704_88909	WP3940_94312	1	[Wd:Q22124685]
WP704_88909	WP661_88591	1	[Wd:Q22124685]
WP704_88909	WP176_93690	1	[Wd:Q22124685]
WP704_88909	WP1533_85340	1	[Wd:Q22124685]
WP704_88909	WP241_89671	1	[Wd:Q22124685]
WP704_88909	WP2190_88006	1	[Wd:Q22124685]
WP2436_93092	WP2447_85186	2	[Wd:Q424361, Wd:Q171877]
WP2436_93092	WP15_94185	4	[Wd:Q116907, Wd:Q424361, Wd:Q26840996, Wd:Q171877]
WP2436_93092	WP3996_93015	1	[Wd:Q424361]
WP2436_93092	WP727_90193	1	[Wd:Q170304]
WP2436_93092	WP3925_90737	3	[Wd:Q188017, Wd:Q116907, Wd:Q170304]
