Key	PathwayName	PathwayID	Met
WP554_92084	ACE Inhibitor Pathway	WP554	10
WP528_79855	Acetylcholine Synthesis	WP528	9
WP106_94196	Alanine and aspartate metabolism	WP106	26
WP550_90171	Biogenic Amine Synthesis	WP550	17
WP272_93044	Blood Clotting Cascade	WP272	1
WP536_94305	Calcium Regulation in the Cardiac Cell	WP536	7
WP558_90196	Complement and Coagulation Cascades	WP558	3
WP466_89897	DNA Replication	WP466	6
WP167_89514	Eicosanoid Synthesis	WP167	19
WP111_89727	Electron Transport Chain	WP111	10
WP314_87381	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	WP314	8
WP206_94194	Fatty Acid Omega Oxidation	WP206	4
WP357_94197	Fatty Acid Biosynthesis	WP357	11
WP306_92678	Focal Adhesion	WP306	1
WP455_81793	GPCRs, Class A Rhodopsin-like	WP455	9
WP35_88601	G Protein Signaling Pathways	WP35	3
WP237_78497	Glucocorticoid &amp; Mineralcorticoid Metabolism	WP237	13
WP500_94085	Glycogen Metabolism	WP500	8
WP534_93722	Glycolysis and Gluconeogenesis	WP534	20
WP561_93014	Heme Biosynthesis	WP561	12
WP78_90661	TCA Cycle	WP78	12
WP382_79951	MAPK Signaling Pathway	WP382	2
WP368_94199	Mitochondrial LC-Fatty Acid Beta-Oxidation	WP368	5
WP58_93101	Monoamine GPCRs	WP58	7
WP170_71083	Nuclear Receptors	WP170	5
WP299_89331	Nuclear Receptors in Lipid Metabolism and Toxicity	WP299	9
WP80_68938	Nucleotide GPCRs	WP80	2
WP404_68960	Nucleotide Metabolism	WP404	18
WP408_94131	Oxidative Stress	WP408	1
WP134_88600	Pentose Phosphate Pathway	WP134	17
WP24_90195	Peptide GPCRs	WP24	2
WP98_88906	Prostaglandin Synthesis and Regulation	WP98	10
WP183_81161	Proteasome Degradation	WP183	1
WP51_79977	Regulation of Actin Cytoskeleton	WP51	6
WP247_74422	Small Ligand GPCRs	WP247	4
WP289_89548	Myometrial Relaxation and Contraction Pathways	WP289	3
WP430_90508	Statin Pathway	WP430	15
WP496_69016	Steroid Biosynthesis	WP496	12
WP311_68921	Synthesis and Degradation of Ketone Bodies	WP311	5
WP231_89895	TNF alpha Signaling Pathway	WP231	3
